iter	Logloss
0	0.6198143481
1	0.5704025957
2	0.5272292237
3	0.495345064
4	0.4710758919
5	0.4526372557
6	0.4366180213
7	0.426080495
8	0.4160570143
9	0.4078101998
10	0.4026163113
11	0.3974629314
12	0.3938940573
13	0.3918129626
14	0.3879982764
15	0.38520901
16	0.3823123248
17	0.3807532013
18	0.3789877628
19	0.3763169881
20	0.3745223357
21	0.3721282875
22	0.3700908967
23	0.3695193082
24	0.3685136615
25	0.3675839209
26	0.366944757
27	0.365926956
28	0.3651147006
29	0.3647882991
30	0.3639383298
31	0.3627348051
32	0.362306213
33	0.3615052078
34	0.3610372599
35	0.3607184985
36	0.3606914012
37	0.3595684947
38	0.3588824382
39	0.3581670948
40	0.3573245405
41	0.3573244983
42	0.3569449669
43	0.3562170407
44	0.3554983041
45	0.3547175702
46	0.3545787085
47	0.3541781312
48	0.353738361
49	0.3533028186
50	0.3526883225
51	0.352098575
52	0.351734535
53	0.3510149677
54	0.3501534311
55	0.3490959163
56	0.3486249924
57	0.3484354244
58	0.3484126802
59	0.3482519072
60	0.3478702041
61	0.3469562869
62	0.3467801639
63	0.3463745416
64	0.346084412
65	0.3460467673
66	0.3454413065
67	0.3451058348
68	0.3446390251
69	0.3439919037
70	0.3434233148
71	0.3430077419
72	0.3427692614
73	0.3423681747
74	0.3414042811
75	0.3410125977
76	0.3403051053
77	0.3400843853
78	0.3394986202
79	0.3392547797
80	0.3389686452
81	0.3386089835
82	0.3383006619
83	0.3377659228
84	0.3371770574
85	0.3367796601
86	0.3363913431
87	0.3362481698
88	0.3360750788
89	0.335613985
90	0.3352167061
91	0.3349546018
92	0.3344567747
93	0.3339266398
94	0.3332355197
95	0.3328298529
96	0.3328298513
97	0.3322781046
98	0.3317511911
99	0.3316183258
100	0.3307812012
101	0.3304549476
102	0.3301219924
103	0.32975354
104	0.3294937534
105	0.3290476702
106	0.3288113582
107	0.3285076736
108	0.3283134761
109	0.3281719543
110	0.328100793
111	0.3275822753
112	0.3274567535
113	0.3269568128
114	0.3267274388
115	0.3264731733
116	0.3263464982
117	0.3260398331
118	0.3258171693
119	0.3251889148
120	0.3250604205
121	0.3250153555
122	0.3246980881
123	0.324667194
124	0.3244506329
125	0.3243503548
126	0.3239629238
127	0.3234488241
128	0.3232621423
129	0.3232102195
130	0.3225528654
131	0.3217753789
132	0.3216085139
133	0.3213766362
134	0.3207372679
135	0.3205649827
136	0.3202221109
137	0.3199161557
138	0.3193863737
139	0.3188693929
140	0.3184433304
141	0.3178732192
142	0.3172779706
143	0.317042365
144	0.3169429282
145	0.3169276206
146	0.3167084164
147	0.3163342146
148	0.3157402434
149	0.3156428433
150	0.3151822236
151	0.3151348185
152	0.314774196
153	0.3146020431
154	0.3145953694
155	0.3140667113
156	0.3137647852
157	0.313663746
158	0.3133804603
159	0.3130176574
160	0.3124563652
161	0.312094217
162	0.3117580407
163	0.311568582
164	0.3112690223
165	0.3110621189
166	0.310302828
167	0.3099560144
168	0.3098954942
169	0.3097206093
170	0.3094711685
171	0.3093807315
172	0.3093310043
173	0.3089753339
174	0.3088458327
175	0.3084679606
176	0.3081451016
177	0.3079151838
178	0.3074019559
179	0.3071020418
180	0.3069534864
181	0.3066469103
182	0.3062054454
183	0.305946264
184	0.3055605614
185	0.3051190595
186	0.3049423916
187	0.3046689934
188	0.3043168192
189	0.3042789135
190	0.3040812561
191	0.3038200884
192	0.303499104
193	0.3034092767
194	0.3030086405
195	0.3026996411
196	0.3025821196
197	0.3022564582
198	0.3018570812
199	0.3017896455
200	0.3016946459
201	0.3014728359
202	0.3013454557
203	0.3010483468
204	0.3006493328
205	0.3004395289
206	0.300290273
207	0.3002643929
208	0.3002095699
209	0.2997042522
210	0.2995094818
211	0.2992978495
212	0.2990748613
213	0.2990077483
214	0.2988982564
215	0.2986722565
216	0.2983189124
217	0.2981292315
218	0.297961174
219	0.2976062161
220	0.297549191
221	0.2974021872
222	0.2971078852
223	0.2970510254
224	0.2969541313
225	0.296605281
226	0.2961518206
227	0.2958771375
228	0.2954076269
229	0.2950718406
230	0.2949355817
231	0.2945899433
232	0.2942500898
233	0.2940524792
234	0.2937150547
235	0.2936301437
236	0.2932647504
237	0.2932077384
238	0.2928770824
239	0.2926208441
240	0.2924068905
241	0.2922813633
242	0.2919534047
243	0.2916816775
244	0.2914725122
245	0.2911835689
246	0.2910257424
247	0.2907404763
248	0.2903819794
249	0.2900507147
250	0.2898738134
251	0.289693014
252	0.2893314764
253	0.2892123633
254	0.2890513649
255	0.2887214246
256	0.2885331448
257	0.288431922
258	0.288084915
259	0.2877856469
260	0.2876165616
261	0.2874758785
262	0.2870765244
263	0.2869587929
264	0.2869006106
265	0.2866371179
266	0.2865281696
267	0.2865180543
268	0.2864718296
269	0.2863930349
270	0.2863579268
271	0.2862276793
272	0.2861926676
273	0.2858945932
274	0.2856327303
275	0.2855878347
276	0.2854783636
277	0.2853353113
278	0.2851238993
279	0.2849217121
280	0.2848148734
281	0.2847336147
282	0.2846109004
283	0.2845450134
284	0.284122248
285	0.2840186896
286	0.2838523467
287	0.2835170017
288	0.2833154394
289	0.2832433679
290	0.2829039381
291	0.2826475583
292	0.2824036058
293	0.281857177
294	0.2816367142
295	0.2814130455
296	0.2813607792
297	0.2812442728
298	0.2811378596
299	0.2808646888
300	0.2806190399
301	0.2801005402
302	0.2799564662
303	0.279754439
304	0.2794943274
305	0.2791914101
306	0.2789338119
307	0.278501617
308	0.278375177
309	0.2781977126
310	0.2781632155
311	0.2775917794
312	0.2774929048
313	0.2772796128
314	0.2770856041
315	0.2769695085
316	0.2767248302
317	0.276481664
318	0.2764348887
319	0.2762918909
320	0.2762521082
321	0.2759609553
322	0.2758335839
323	0.2757351104
324	0.2756103979
325	0.275350735
326	0.2753036643
327	0.2751914174
328	0.2750684175
329	0.2750328901
330	0.2746103617
331	0.2744146298
332	0.2742783023
333	0.2741974299
334	0.2740228671
335	0.2737342151
336	0.2735578935
337	0.2733836963
338	0.2733184972
339	0.2731657805
340	0.2729890606
341	0.27285841
342	0.2728182028
343	0.2726194638
344	0.2723781495
345	0.2719740421
346	0.2719463749
347	0.2717501029
348	0.2714094014
349	0.2712049821
350	0.2708347094
351	0.2707548325
352	0.2706151362
353	0.2704011261
354	0.2702039286
355	0.2700836834
356	0.269945919
357	0.269679024
358	0.269305364
359	0.2690253581
360	0.2688772852
361	0.2687256447
362	0.2683278214
363	0.2682406528
364	0.2680222463
365	0.267820014
366	0.2676014844
367	0.2675313138
368	0.2674031507
369	0.2671919896
370	0.2670290386
371	0.2666674529
372	0.2663395978
373	0.2661337475
374	0.2656143379
375	0.2654035798
376	0.265257164
377	0.2649751271
378	0.2647450072
379	0.2646039135
380	0.2645095619
381	0.2643171661
382	0.2642061306
383	0.263832394
384	0.2636185023
385	0.2634139514
386	0.2633160417
387	0.2629355574
388	0.2627274718
389	0.2625361005
390	0.262408696
391	0.2622564713
392	0.2619125379
393	0.2616225054
394	0.2613974926
395	0.2613612437
396	0.2612860706
397	0.2611583764
398	0.2608321271
399	0.2607058414
400	0.2606280872
401	0.2604555334
402	0.2602752979
403	0.2595947957
404	0.2593535526
405	0.2591674393
406	0.2588901221
407	0.2587688874
408	0.2585108787
409	0.2583224271
410	0.2581160897
411	0.2580136485
412	0.2577773239
413	0.2576108117
414	0.2572873808
415	0.2570493389
416	0.2567987661
417	0.2567609285
418	0.2563459151
419	0.2561518403
420	0.2557863286
421	0.2555505351
422	0.2555140409
423	0.2553323834
424	0.2551499286
425	0.2548992903
426	0.2547443018
427	0.2544825783
428	0.2543535133
429	0.2541903215
430	0.2540756983
431	0.2539060877
432	0.2537343872
433	0.2535058939
434	0.253264138
435	0.2531886205
436	0.252949442
437	0.2526405976
438	0.2525060236
439	0.2523190053
440	0.2522373878
441	0.2521270388
442	0.2518319189
443	0.251661219
444	0.2514466739
445	0.2511113348
446	0.2508704436
447	0.250711003
448	0.2503995502
449	0.2503662669
450	0.2502691188
451	0.2502023314
452	0.2499905384
453	0.2498860027
454	0.2496849794
455	0.249653551
456	0.2494381552
457	0.2492829146
458	0.249042197
459	0.2489824179
460	0.2486954224
461	0.2485173745
462	0.2482703731
463	0.2481817356
464	0.2480626703
465	0.2478639231
466	0.2476286721
467	0.2474101351
468	0.2472295412
469	0.2471221724
470	0.2468668626
471	0.2467657508
472	0.2466884778
473	0.2465037222
474	0.246467015
475	0.2463207525
476	0.2463000205
477	0.2461546207
478	0.2460743471
479	0.2459748011
480	0.2459228885
481	0.2456346991
482	0.2455660986
483	0.2453541532
484	0.2451699642
485	0.2451055548
486	0.2448977162
487	0.2446515532
488	0.2443514492
489	0.2441361418
490	0.2440483392
491	0.2437326469
492	0.2436802383
493	0.2435977689
494	0.243506663
495	0.2433226596
496	0.2430824632
497	0.2428050049
498	0.2425000847
499	0.2424272894
500	0.2422755176
501	0.2419980793
502	0.2419470605
503	0.2418968842
504	0.2416173844
505	0.2414878605
506	0.2412390007
507	0.2411687966
508	0.2410627445
509	0.240963166
510	0.2407924579
511	0.2407685447
512	0.2407361534
513	0.2405312949
514	0.2404799625
515	0.2403045549
516	0.2400737674
517	0.2399785821
518	0.2397108493
519	0.2396246094
520	0.2393628657
521	0.2392464109
522	0.239214102
523	0.2389428487
524	0.2388238595
525	0.2386999181
526	0.2386047844
527	0.2384900367
528	0.2381482374
529	0.2379907171
530	0.2378554638
531	0.2376050153
532	0.2374556785
533	0.2372191378
534	0.2370789687
535	0.2369497444
536	0.236860328
537	0.2365976273
538	0.2365335037
539	0.2364937757
540	0.2363663988
541	0.2363604609
542	0.2363252434
543	0.2359579324
544	0.2357892644
545	0.2356968764
546	0.2355455187
547	0.2355325169
548	0.2352998925
549	0.2352053962
550	0.2350784022
551	0.2349959283
552	0.2348470954
553	0.2347928068
554	0.2345082893
555	0.2343082956
556	0.2341798371
557	0.234114443
558	0.2340703266
559	0.233938093
560	0.2339048113
561	0.233881202
562	0.2335723642
563	0.2334420915
564	0.233356197
565	0.2333046195
566	0.2331925217
