iter	Passed	Remaining
0	50	50099
1	106	53219
2	152	50569
3	195	48690
4	235	46791
5	272	45167
6	331	47091
7	482	59836
8	577	63558
9	630	62462
10	681	61254
11	734	60481
12	794	60331
13	825	58164
14	878	57672
15	934	57441
16	994	57486
17	1052	57405
18	1099	56772
19	1161	56921
20	1217	56761
21	1287	57247
22	1396	59320
23	1464	59558
24	1531	59712
25	1585	59392
26	1641	59149
27	1704	59161
28	1754	58739
29	1807	58437
30	1875	58634
31	1955	59142
32	2041	59812
33	2114	60086
34	2183	60188
35	2237	59913
36	2256	58724
37	2312	58551
38	2370	58406
39	2425	58209
40	2482	58059
41	2494	56887
42	2545	56653
43	2603	56575
44	2679	56864
45	2763	57304
46	2830	57395
47	2894	57401
48	2964	57534
49	3028	57539
50	3117	58014
51	3214	58610
52	3283	58666
53	3362	58898
54	3424	58834
55	3479	58655
56	3531	58427
57	3585	58238
58	3606	57526
59	3652	57217
60	3707	57077
61	3760	56892
62	3811	56694
63	3861	56473
64	3917	56349
65	3967	56142
66	4023	56023
67	4073	55827
68	4125	55661
69	4179	55533
70	4240	55478
71	4291	55312
72	4341	55127
73	4393	54983
74	4446	54844
75	4497	54681
76	4554	54589
77	4609	54481
78	4670	54445
79	4725	54345
80	4772	54144
81	4828	54057
82	4881	53929
83	4939	53866
84	4994	53764
85	5044	53612
86	5106	53584
87	5163	53508
88	5218	53418
89	5275	53345
90	5336	53309
91	5388	53178
92	5443	53087
93	5498	52996
94	5556	52932
95	5607	52804
96	5625	52369
97	5685	52331
98	5735	52200
99	5795	52158
100	5852	52093
101	5910	52038
102	5968	51975
103	6026	51919
104	6080	51825
105	6136	51758
106	6193	51692
107	6253	51651
108	6307	51558
109	6361	51473
110	6417	51398
111	6474	51332
112	6533	51285
113	6591	51229
114	6654	51211
115	6708	51121
116	6767	51071
117	6823	50999
118	6873	50883
119	6933	50843
120	6986	50750
121	7045	50701
122	7103	50647
123	7157	50566
124	7216	50514
125	7271	50437
126	7326	50360
127	7381	50283
128	7436	50209
129	7490	50129
130	7545	50052
131	7600	49977
132	7663	49955
133	7721	49902
134	7781	49860
135	7836	49785
136	7897	49748
137	7958	49711
138	8011	49623
139	8061	49520
140	8114	49435
141	8167	49350
142	8225	49298
143	8281	49226
144	8336	49156
145	8392	49091
146	8449	49027
147	8507	48977
148	8560	48890
149	8613	48811
150	8674	48773
151	8730	48709
152	8790	48663
153	8843	48583
154	8897	48504
155	8950	48423
156	9004	48349
157	9058	48273
158	9115	48216
159	9172	48157
160	9233	48118
161	9290	48056
162	9346	47993
163	9398	47909
164	9449	47820
165	9504	47751
166	9559	47680
167	9610	47596
168	9669	47548
169	9722	47468
170	9774	47387
171	9828	47315
172	9881	47238
173	9940	47187
174	9990	47100
175	10041	47014
176	10101	46967
177	10150	46877
178	10227	46908
179	10300	46924
180	10361	46886
181	10428	46871
182	10492	46842
183	10561	46838
184	10629	46825
185	10695	46805
186	10762	46790
187	10825	46757
188	10893	46741
189	10961	46728
190	11021	46683
191	11091	46676
192	11156	46647
193	11219	46613
194	11287	46599
195	11354	46577
196	11417	46541
197	11478	46495
198	11539	46449
199	11601	46405
200	11666	46376
201	11720	46302
202	11775	46233
203	11832	46169
204	11888	46105
205	11940	46021
206	11992	45941
207	12048	45877
208	12101	45799
209	12165	45766
210	12223	45707
211	12275	45626
212	12331	45564
213	12384	45487
214	12439	45417
215	12497	45359
216	12556	45308
217	12615	45253
218	12677	45211
219	12735	45151
220	12796	45106
221	12849	45029
222	12911	44988
223	12966	44918
224	13022	44855
225	13080	44798
226	13132	44719
227	13189	44659
228	13245	44594
229	13310	44561
230	13368	44503
231	13436	44480
232	13514	44487
233	13579	44451
234	13653	44447
235	13714	44397
236	13778	44359
237	13836	44300
238	13892	44234
239	13956	44195
240	14022	44162
241	14080	44104
242	14153	44090
243	14214	44043
244	14286	44025
245	14354	43996
246	14422	43969
247	14498	43962
248	14573	43953
249	14648	43945
250	14729	43954
251	14815	43976
252	14892	43971
253	14968	43963
254	15036	43929
255	15104	43898
256	15176	43876
257	15247	43851
258	15320	43832
259	15393	43811
260	15475	43816
261	15544	43785
262	15608	43739
263	15662	43664
264	15722	43608
265	15783	43553
266	15839	43484
267	15905	43443
268	15960	43372
269	16016	43303
270	16077	43249
271	16133	43180
272	16182	43094
273	16234	43016
274	16290	42948
275	16353	42898
276	16407	42824
277	16466	42765
278	16519	42690
279	16576	42624
280	16636	42568
281	16699	42518
282	16759	42462
283	16817	42399
284	16877	42342
285	16933	42275
286	16989	42206
287	17049	42150
288	17106	42086
289	17160	42014
290	17213	41940
291	17271	41877
292	17330	41817
293	17388	41756
294	17445	41690
295	17503	41628
296	17557	41558
297	17618	41503
298	17681	41453
299	17734	41380
300	17788	41310
301	17847	41249
302	17905	41189
303	17963	41127
304	18015	41050
305	18076	40995
306	18138	40945
307	18188	40865
308	18249	40810
309	18305	40743
310	18365	40688
311	18416	40610
312	18488	40579
313	18547	40522
314	18597	40443
315	18661	40393
316	18725	40345
317	18785	40287
318	18845	40231
319	18903	40169
320	18962	40111
321	19021	40051
322	19078	39988
323	19137	39928
324	19192	39862
325	19254	39809
326	19317	39758
327	19378	39701
328	19440	39648
329	19507	39606
330	19569	39551
331	19623	39483
332	19686	39431
333	19743	39369
334	19805	39315
335	19854	39235
336	19914	39179
337	19969	39112
338	20025	39047
339	20076	38972
340	20132	38907
341	20185	38836
342	20240	38770
343	20298	38709
344	20363	38660
345	20416	38590
346	20470	38522
347	20524	38453
348	20582	38393
349	20646	38343
350	20700	38276
351	20753	38205
352	20806	38135
353	20866	38079
354	20919	38008
355	20980	37954
356	21038	37892
357	21098	37835
358	21157	37777
359	21215	37715
360	21272	37653
361	21332	37596
362	21407	37566
363	21464	37503
364	21519	37437
365	21583	37387
366	21647	37337
367	21700	37268
368	21755	37202
369	21814	37144
370	21877	37091
371	21942	37043
372	21998	36979
373	22054	36914
374	22111	36852
375	22177	36805
376	22236	36746
377	22295	36688
378	22353	36626
379	22411	36565
380	22463	36496
381	22526	36443
382	22584	36382
383	22635	36310
384	22695	36253
385	22755	36196
386	22811	36133
387	22865	36065
388	22930	36016
389	22990	35959
390	23048	35898
391	23111	35846
392	23176	35797
393	23241	35746
394	23296	35681
395	23357	35625
396	23410	35557
397	23466	35495
398	23526	35436
399	23584	35376
400	23646	35322
401	23707	35266
402	23766	35207
403	23823	35145
404	23883	35087
405	23938	35023
406	23995	34960
407	24054	34903
408	24115	34846
409	24174	34788
410	24232	34726
411	24291	34668
412	24347	34604
413	24406	34546
414	24462	34483
415	24523	34427
416	24584	34371
417	24645	34315
418	24695	34243
419	24757	34188
420	24821	34137
421	24877	34074
422	24939	34019
423	24998	33960
424	25055	33898
425	25108	33831
426	25168	33773
427	25225	33712
428	25284	33654
429	25333	33581
430	25392	33522
431	25444	33455
432	25509	33404
433	25564	33340
434	25622	33279
435	25684	33224
436	25743	33165
437	25801	33106
438	25859	33046
439	25920	32989
440	25975	32925
441	26037	32871
442	26103	32821
443	26157	32755
444	26220	32701
445	26274	32636
446	26332	32577
447	26392	32518
